id,unicode,X,Y,population,traveller,visitor
212,06109,-2060862.5574739431,320263.39234415983,54658,3363,1751
213,06111,-2083602.9829829887,-86539.71139096054,756506,81702,37983
214,06113,-2204407.5734762987,435268.7815350623,169835,24584,35784
215,06115,-2141575.9990778505,485615.04837335087,60372,9577,8742
216,08001,-706584.21686766576,297251.05479511031,350888,108241,65027
217,08003,-854831.91913278843,52230.562805403024,14954,886,2145
218,08005,-708198.36645150417,272092.72359702043,491482,129667,134865
219,08007,-969303.32482704229,22082.652168684835,10020,466,335
220,08009,-575451.08396292652,-401.71285116535432,4501,114,127
221,08011,-614916.53368248395,73865.910349391881,5954,640,456
222,08013,-789289.4395366892,329172.44407330436,271574,31940,56143
223,08015,-876011.84029977932,186746.36041207271,16337,503,763
224,08017,-567472.02715149755,168586.06971715609,2209,123,296
225,08019,-818256.65503596445,286913.32595110289,9255,3128,671
226,08021,-894361.45579810976,14478.473623450025,8401,1119,263
227,08023,-826769.28946917027,16145.52656676414,3675,314,192
228,08025,-673388.49852367199,120238.77033374416,5509,524,544
229,08027,-812276.29291655624,108291.0947845303,3523,400,133
230,08029,-1017178.9282015157,216156.73023161222,27877,2390,860
231,08031,-752574.91072186199,288670.69532163377,555651,101723,257371
232,08033,-1089266.9594640844,100081.50611369648,1847,342,56
233,08035,-761589.440248086,240874.50893078046,180121,65866,30529
234,08037,-907830.05070728273,289614.95732977026,41961,3772,4438
235,08039,-694442.96997873858,229966.19950986977,20060,7571,856
236,08041,-732207.4028958776,182158.42346128527,519938,12048,14303
237,08043,-814459.15984470886,149547.06011892462,46245,3280,2117
238,08045,-1010403.3025585912,298769.4378810504,44257,5947,2008
239,08047,-806075.74758126179,304647.13602724095,4783,1779,3891
240,08049,-853394.73928800877,337154.53522856015,12496,887,454
241,08051,-948762.42394842394,185856.65172023888,14068,350,973
242,08053,-982988.34051678609,94467.429285863764,791,63,44
243,08055,-781571.36826714978,57572.640401466539,7771,446,418
244,08057,-865368.41430844762,401956.29643731343,1577,55,71
245,08059,-786016.68505281792,272246.06961758749,526251,148900,78320
246,08061,-582363.69884264015,125259.71499904474,1610,109,108
247,08063,-563710.62790953345,221955.37346481957,7971,238,313
248,08065,-883400.73219261167,238931.84543395488,7815,2065,252
249,08067,-1037452.3334258861,40789.60507732207,44228,1203,2331
250,08069,-791857.73296870163,394260.96658096369,253072,21053,13027
251,08071,-704890.14668804174,9280.7543182361096,15297,577,424
252,08073,-644211.53147725633,192137.63992550015,6070,248,635
253,08075,-595047.75634504412,383631.56610027218,20699,848,890
254,08077,-1066423.4125203721,240209.82011840373,117631,2293,1224
256,08081,-1021309.241119802,415182.09954343829,13147,1753,413
257,08083,-1102308.1313651993,55045.183409609308,23847,1490,668
258,08085,-1058492.030248207,169600.39520719671,33599,2175,1513
259,08087,-657730.18027391168,336646.18940646446,27257,1246,1029
260,08089,-671342.83340330177,72390.329904838436,20242,1312,1093
261,08091,-1018924.2334740885,136620.5621110494,3775,495,325
262,08093,-830930.91707137297,223953.10846109287,14670,4949,763
263,08095,-533147.66257280414,364560.67227521981,4455,220,313
264,08097,-931810.08026076399,246045.89197475894,14817,828,7166
265,08099,-556023.00733634969,69691.152972904936,14431,437,735
266,08101,-737725.74808273732,108518.21364188669,141800,5988,4112
267,08103,-1031347.9163948366,344406.57324518176,5986,313,515
268,08105,-906454.831627434,58820.071110718323,12445,1144,1036
269,08107,-921739.92112153105,387775.82598374877,19815,560,1784
270,08109,-891524.4346987101,113354.74502420302,5939,780,355
271,08111,-1016290.3717111285,92100.018861715813,562,73,47
272,08113,-1075928.1032644075,126834.68590091304,6609,207,1416
273,08115,-530553.65639326093,396042.25314833119,2746,251,133
274,08117,-858795.43971559475,284932.29518733179,23700,904,3634
275,08119,-786147.95870323631,192810.60365781223,20655,4733,1471
276,08121,-609095.13881978998,299956.77916846838,4939,617,115
277,08123,-703961.65881724504,373316.28695566556,182782,28420,13830
278,08125,-543211.08005977655,298802.64177562331,9823,296,489
279,09001,1861805.741704256,645155.19629144215,884364,83331,108565
280,09003,1900290.2078618149,716242.10401781707,858416,52803,127324
281,09005,1859613.507146125,704584.76128492237,182597,42382,18847
282,09007,1925524.8004158726,682977.57434193091,155593,39026,28126
283,09009,1894978.5341427326,669284.71200522094,824911,97818,72027
284,09011,1959615.4967263928,694424.3234486311,259848,22221,27955
285,09013,1930650.7270893333,729509.38939874677,136863,44583,15797
286,09015,1959223.0443666419,733935.91314511967,109185,23207,9192
287,10001,1737558.8377838046,365277.45917545049,127229,12293,12457
288,10003,1719085.0362031665,418039.09335453785,501837,35272,59517
289,10005,1762738.2676340051,321977.25993513013,157307,16045,9328
290,11001,1620146.6744864201,319803.03235283936,572046,69914,481080
291,12001,1315555.5635374868,-778898.51653722534,218611,6938,19648
292,12003,1312064.035787551,-705804.5488833019,22374,4697,1563
293,12005,995241.86652532429,-753565.06821753259,148393,3243,5852
294,12007,1329177.1723730019,-746048.11671980389,26064,4811,2394
295,12009,1495496.068417073,-906075.2631423584,477819,15744,8132
296,12011,1557537.3514169343,-1134955.9726898409,1630600,176394,104459
297,12013,1033840.4355816129,-733511.65234735468,13040,1948,806
298,12015,1403443.1436741247,-1075243.9782317569,142266,12846,7772
299,12017,1318634.0771400603,-870489.79112261778,118649,8439,3582
300,12019,1358308.5405191628,-738041.80072723946,141629,40775,10437
301,12021,1472835.9087505136,-1152410.336576971,254015,7855,18016
302,12023,1281697.6991545476,-722191.5037973047,56571,5751,4895
303,12027,1408951.8996394605,-1043183.0690780083,32196,3363,2165
304,12029,1239763.1422236699,-797012.79783291765,13758,1683,586
305,12031,1370346.72640475,-697085.43254791386,779800,23958,81670
306,12033,824673.38993799977,-725755.32770017313,294725,13093,25110
307,12035,1419086.9764337409,-787276.51984422153,50579,6998,2821
308,12037,1077439.0874956907,-787731.50497346616,9839,451,567
309,12039,1087131.0571184836,-707857.58179674332,44950,9051,4265
310,12041,1272344.9673188825,-779322.83768303145,14443,3397,1091
311,12043,1473984.9185835298,-1058786.9128504416,10579,1939,733
312,12045,1036657.188708597,-783595.59479589481,14566,1476,686
313,12047,1246524.6794627637,-696556.91807467933,13330,1706,1610
314,12049,1403868.2415891914,-1009796.5487859689,26769,2966,1469
315,12051,1483172.1786649947,-1102235.6895349508,36255,4391,2543
316,12053,1326953.40155455,-902787.33302674908,131390,14357,7329
317,12055,1452431.7774088164,-1019040.2584618699,87417,3076,2615
318,12057,1347751.4487363168,-969348.61748211144,1003435,50573,101273
319,12059,969542.26376068394,-688988.04535749333,18553,3626,957
320,12061,1518355.4209389957,-969320.3723332535,113323,5671,9049
321,12063,1027209.5324960694,-690714.86908282386,46701,4320,2971
322,12065,1157354.8336212791,-715014.85789593693,12891,3094,719
323,12067,1232013.6783685465,-755802.89563890011,7011,908,458
324,12069,1392520.370254555,-869799.21410065156,212347,29602,21383
325,12071,1416334.7172036313,-1109861.8564263894,444311,20446,13567
326,12073,1120674.1251684886,-717345.55338371638,240571,5929,22973
327,12075,1284141.2654051532,-823170.68520039506,34644,5874,2546
328,12077,1065918.640997072,-748214.53599424544,6989,1221,616
329,12079,1197692.9888723216,-709027.51485968847,18734,2005,1084
330,12081,1354536.3094224106,-1019399.6794258129,265644,28774,15730
331,12083,1351867.5916556478,-825620.52649762738,260221,13216,9329
332,12085,1546569.6541809279,-1033579.924103057,127301,15995,19033
333,12086,1559698.3744098588,-1194291.9136650306,2259508,73965,132786
334,12087,1511860.4441604731,-1229173.6974232297,79470,1759,4205
335,12089,1353268.4503963257,-668350.35026421084,57957,12291,3406
336,12091,897733.06442263699,-716232.15767206787,171200,6980,12907
337,12093,1496152.3371709895,-1007343.284529277,35917,3356,1675
338,12095,1434245.3406072306,-890966.43281864421,903019,62088,175212
339,12097,1458925.0007215573,-937696.27898487344,174146,39361,19657
340,12099,1550922.064469585,-1080870.5294073115,1135787,53229,77457
341,12101,1333740.4785749286,-929004.4209653259,347038,59960,20536
342,12103,1307773.7492401383,-976025.5100067138,922150,57991,55040
343,12105,1407371.9255860853,-958371.91451293032,485515,31598,17602
344,12107,1375353.8823159249,-777476.65095393942,70433,8412,3107
345,12109,1399469.5601086852,-740920.93693730782,124522,23398,12538
346,12111,1537277.2991629974,-1001620.6785423195,193518,26181,9526
347,12113,856728.6508641222,-719159.0671838891,118360,28520,7372
348,12115,1357503.7282710019,-1050990.2001818132,327165,18961,32157
349,12117,1439243.7200497342,-867552.6072654106,367378,91159,55602
350,12119,1357723.0822392837,-881368.14776432922,53738,6733,4198
351,12121,1246927.2643128338,-730237.31805347581,35071,4672,2267
352,12123,1190779.0374419999,-754402.67026837275,19233,895,867
353,12125,1308361.0738318879,-738563.33057140734,13450,2120,2192
354,12127,1438689.6258016613,-829415.85656461446,444935,35920,13446
355,12129,1112930.9553260806,-750828.63322887709,22924,6417,1187
356,12131,938430.7653479788,-717408.42441054899,40755,5890,5298
357,12133,986756.10367320105,-715887.82432330155,21023,3657,2657
358,13001,1288966.6942646336,-549796.45806712215,17396,2144,1871
359,13003,1240681.843849648,-607481.54686693032,7591,1350,987
360,13005,1276768.8192953146,-573554.58235500287,10131,1343,926
361,13007,1093111.4960637048,-623494.25518844766,4025,1011,298
362,13009,1179528.0426076509,-416555.93743376317,44684,3485,5161
363,13011,1137917.360160216,-277270.90859344165,14544,5207,2226
364,13013,1123634.1312107476,-319826.90530113206,46520,14865,4806
365,13015,1017790.6165476483,-305403.01653714856,76806,15248,11799
366,13017,1201785.7242959137,-560830.96517687,17483,1543,2474
367,13019,1208141.7061246652,-614320.06464437232,16268,3241,1424
368,13021,1142082.3979108273,-451040.85818905703,153857,9077,30796
369,13023,1181743.7205982958,-487684.34077065444,11654,2116,1308
370,13025,1326650.1987478437,-606390.30898591806,14700,4307,380
371,13027,1181426.1351833309,-666572.11774518574,16458,3483,994
372,13029,1363338.739175682,-508759.15774166607,23474,8192,1934
373,13031,1329120.4165580478,-470888.92997693457,56146,5457,5069
374,13033,1294374.9993884075,-401157.8744036135,22279,3422,2341
375,13035,1111332.5085072322,-400702.93360360852,19621,4391,2189
376,13037,1073458.2260394902,-603109.13579501095,6325,1031,917
377,13039,1360376.5037425149,-631291.5401868982,43824,4638,3571
378,13043,1298410.813320423,-474730.36042659252,9585,1455,756
379,13045,1004457.207335072,-380649.02310336119,87932,15119,10795
380,13047,982277.6243103923,-234581.64155295808,53549,19535,6088
381,13049,1318725.464050093,-654267.63911817735,10312,1773,810
382,13051,1392407.3126720523,-505395.01340825687,232492,6247,28532
383,13053,1047512.3428464511,-514456.85310628125,15047,3025,7774
384,13055,968975.34113878768,-284331.78249605873,25419,3789,1739
385,13057,1050750.759647591,-300766.63293418963,143777,47751,14478
386,13059,1155635.6683031248,-320333.95865801099,102401,9176,27149
387,13061,1038822.463357517,-596324.04479663644,3353,620,210
388,13063,1071113.9381219409,-377295.4198602268,238079,69546,54349
389,13065,1262962.3014926885,-647298.20743691106,6831,500,840
390,13067,1045709.3633091035,-335434.31564105011,611505,145314,118245
391,13069,1239709.2210556713,-579290.85633491969,37592,1904,3590
392,13071,1158675.052416116,-630697.96678273426,42140,4090,2110
393,13073,1262458.0411624922,-351341.21758901887,90138,29245,11665
