id,unicode,X,Y,population,travellers,visitors
163,1163,9919,4441,4835,2540,2295
164,1164,9928,4436,4111,2213,1898
165,1165,9929,4436,2478,1010,1468
166,1166,9925,4440,3534,1796,1738
167,1167,9924,4440,3504,1989,1515
168,1168,9920,4435,2018,1037,981
169,1169,9931,4450,3583,1754,1829
170,1170,9931,4452,3739,1855,1884
171,1171,9930,4452,5607,2604,3003
172,1172,9923,4441,4377,2268,2109
173,1173,9920,4449,6121,3285,2836
174,1174,9926,4457,2149,1094,1055
175,1175,9940,4461,1358,414,944
176,1176,9930,4446,7067,3840,3227
177,1177,9930,4447,8083,4068,4015
178,1178,9928,4442,7154,3629,3525
179,1179,9935,4456,153,77,76
180,1180,9928,4440,4657,2436,2221
181,1181,9924,4437,4114,1948,2166
182,1182,9934,4453,406,166,240
183,1183,9930,4451,4855,2538,2317
184,1184,9930,4449,655,293,362
185,1185,9928,4441,2423,1086,1337
186,1186,9920,4423,188,87,101
187,1187,9925,4448,5766,2702,3064
188,1188,9927,4442,13538,6441,7097
189,1189,9926,4441,10887,5859,5028
190,1190,9927,4449,4941,2452,2489
191,1191,9922,4448,3769,1774,1995
192,1192,9916,4434,1595,716,879
193,1193,9915,4436,3190,1623,1567
194,1194,9913,4435,524,296,228
195,1195,9917,4434,860,398,462
196,1196,9916,4438,761,189,572
197,1197,9924,4449,4874,2547,2327
198,1198,9924,4447,4854,2411,2443
199,1199,9916,4444,9332,5116,4216
200,1200,9917,4443,1837,953,884
201,1201,9918,4450,6187,3169,3018
202,1202,9920,4455,1399,649,750
203,1203,9922,4446,8560,4749,3811
204,1204,9923,4445,3246,1529,1717
205,1205,9913,4440,4264,1976,2288
206,1206,9916,4436,2282,1115,1167
207,1207,9912,4443,3570,1882,1688
208,1208,9912,4441,2961,1569,1392
209,1209,9920,4433,1116,653,463
210,1210,9922,4434,5455,2483,2972
211,1211,9921,4434,750,381,369
212,1212,9921,4436,3334,1934,1400
213,1213,9922,4436,4357,2228,2129
214,1214,9915,4434,5636,3241,2395
215,1215,9915,4433,2041,1007,1034
216,1216,9922,4441,6313,3473,2840
217,1217,9918,4423,56,23,33
218,1218,9941,4461,9678,3303,6375
219,1219,9930,4442,10881,5872,5009
220,1220,9927,4436,3798,1915,1883
221,1221,9925,4436,4913,2372,2541
222,1222,9921,4445,9050,5008,4042
223,1223,9918,4448,7963,3889,4074
224,1224,9914,4443,6811,3626,3185
225,1225,9916,4451,4404,2396,2008
226,1226,9919,4459,772,402,370
227,1227,9921,4443,11150,5323,5827
228,1228,9921,4444,5200,2819,2381
229,1229,9916,4458,4056,2495,1561
230,1230,9910,4441,4197,2442,1755
231,1231,9912,4442,7130,4251,2879
232,1232,9911,4441,4497,2452,2045
233,1233,9906,4432,18,5,13
234,1234,9917,4437,2136,933,1203
235,1235,9931,4444,4235,2068,2167
236,1236,9929,4444,6054,2845,3209
237,1237,9929,4441,3125,1588,1537
238,1238,9912,4440,4123,2041,2082
239,1239,9925,4466,92,43,49
240,1240,9925,4459,374,134,240
241,1241,9926,4459,1236,678,558
242,1242,9908,4451,1269,729,540
243,1243,9917,4450,15746,7463,8283
244,1244,9927,4450,3405,1625,1780
245,1245,9916,4443,3301,1592,1709
246,1246,9915,4451,1437,549,888
247,1247,9916,4452,1886,894,992
248,1248,9917,4432,340,131,209
249,1249,9917,4433,1359,575,784
250,1250,9916,4439,4174,1939,2235
251,1251,9906,4443,881,370,511
252,1252,9919,4462,394,125,269
253,1253,9928,4449,4501,2499,2002
254,1254,9928,4447,4733,2411,2322
255,1255,9920,4437,1167,555,612
256,1256,9918,4435,3506,1870,1636
257,1257,9922,4439,5992,3312,2680
258,1258,9921,4427,191,103,88
259,1259,9923,4440,3197,1756,1441
260,1260,9924,4429,1170,525,645
261,1261,9917,4438,3612,1919,1693
262,1262,9925,4438,1525,775,750
263,1263,9938,4435,240,75,165
264,1264,9931,4438,2235,979,1256
265,1265,9923,4433,277,190,87
266,1266,9926,4446,6212,3104,3108
267,1267,9913,4441,3853,2006,1847
268,1268,9916,4442,10412,5847,4565
269,1269,9913,4442,6925,3586,3339
270,1270,9913,4444,5371,2789,2582
271,1271,9911,4440,1025,380,645
272,1272,9902,4446,217,157,60
273,1273,9902,4444,25,12,13
274,1274,9915,4444,7675,3969,3706
275,1275,9915,4442,8857,4845,4012
276,1276,9907,4445,1538,829,709
277,1277,9906,4445,933,406,527
278,1278,9911,4444,1251,572,679
279,1279,9913,4443,3457,1871,1586
280,1280,9923,4450,6654,3560,3094
281,1281,9926,4448,4676,2344,2332
282,1282,9911,4443,680,152,528
283,1283,9920,4454,2752,1215,1537
284,1284,9908,4441,1263,502,761
