id,unicode,X,Y,population,travellers,visitors
162,1162,12682,2314,6681,2838,3843
163,1163,12682,2315,15373,7866,7507
164,1164,12684,2320,6526,3317,3209
165,1165,12683,2320,3766,1666,2100
166,1166,12681,2315,20962,10529,10433
167,1167,12680,2312,10333,5897,4436
168,1168,12677,2313,906,178,728
169,1169,12680,2314,2618,817,1801
170,1170,12677,2320,15193,8239,6954
171,1171,12677,2321,13910,7293,6617
172,1172,12678,2320,28681,14720,13961
173,1173,12683,2314,1042,336,706
174,1174,12678,2321,27544,14940,12604
175,1175,12679,2317,6110,2085,4025
176,1176,12679,2315,7023,3260,3763
177,1177,12683,2316,7550,3801,3749
178,1178,12688,2320,4089,1673,2416
179,1179,12696,2323,993,328,665
180,1180,12697,2327,3034,1309,1725
181,1181,12670,2328,1777,869,908
182,1182,12675,2321,8073,3975,4098
183,1183,12678,2313,208,11,197
184,1184,12683,2326,454,178,276
185,1185,12698,2322,956,221,735
186,1186,12698,2327,2542,1155,1387
187,1187,12697,2328,5884,3251,2633
188,1188,12702,2327,3275,1069,2206
189,1189,12684,2316,5734,2293,3441
190,1190,12682,2312,3850,1663,2187
191,1191,12724,2324,2061,972,1089
192,1192,12715,2319,5675,3142,2533
193,1193,12680,2319,4565,2726,1839
194,1194,12678,2323,3364,1410,1954
195,1195,12677,2323,8879,4150,4729
196,1196,12678,2322,15737,7927,7810
197,1197,12677,2322,20347,11369,8978
198,1198,12683,2323,431,46,385
199,1199,12672,2325,1208,527,681
200,1200,12680,2320,6133,2412,3721
201,1201,12705,2322,17467,7875,9592
202,1202,12699,2332,10,4,6
203,1203,12698,2333,487,194,293
204,1204,12697,2333,292,117,175
205,1205,12697,2332,350,147,203
206,1206,12696,2328,5573,2933,2640
207,1207,12684,2319,3302,1091,2211
208,1208,12688,2316,986,374,612
209,1209,12692,2319,6940,3552,3388
210,1210,12678,2310,135,14,121
211,1211,12691,2320,917,180,737
212,1212,12698,2319,6494,3451,3043
213,1213,12702,2322,13929,7561,6368
214,1214,12705,2327,2273,774,1499
215,1215,12696,2322,1380,495,885
216,1216,12723,2336,1100,532,568
217,1217,12717,2335,822,259,563
218,1218,12717,2336,6120,3676,2444
219,1219,12708,2324,947,516,431
220,1220,12700,2317,6262,3270,2992
221,1221,12698,2325,68,34,34
222,1222,12697,2329,4829,2453,2376
223,1223,12695,2323,2724,1666,1058
224,1224,12679,2321,11941,6021,5920
225,1225,12682,2320,2327,620,1707
226,1226,12686,2316,1896,693,1203
227,1227,12709,2321,1414,295,1119
228,1228,12687,2320,6556,2706,3850
229,1229,12692,2328,12794,6812,5982
230,1230,12696,2326,9326,4752,4574
231,1231,12709,2324,1411,442,969
232,1232,12716,2320,1895,804,1091
233,1233,12685,2316,1058,344,714
234,1234,12706,2320,1586,564,1022
235,1235,12685,2320,2358,905,1453
236,1236,12707,2325,5238,2395,2843
237,1237,12685,2317,2229,1072,1157
238,1238,12693,2329,6031,3385,2646
239,1239,12691,2330,6864,3350,3514
240,1240,12706,2326,2658,939,1719
241,1241,12708,2325,6978,3760,3218
242,1242,12703,2326,4466,1904,2562
243,1243,12706,2330,134,69,65
244,1244,12700,2334,413,210,203
245,1245,12707,2326,3060,1382,1678
246,1246,12707,2327,1279,549,730
247,1247,12705,2325,13376,7573,5803
248,1248,12709,2328,752,326,426
249,1249,12690,2333,458,125,333
250,1250,12698,2329,2008,873,1135
251,1251,12712,2329,2836,1489,1347
252,1252,12714,2327,191,68,123
253,1253,12715,2333,597,363,234
254,1254,12710,2328,1054,476,578
255,1255,12712,2330,439,214,225
256,1256,12705,2326,7317,3474,3843
257,1257,12704,2324,3617,1141,2476
258,1258,12705,2324,2720,676,2044
259,1259,12703,2331,421,163,258
260,1260,12703,2329,615,240,375
261,1261,12695,2333,792,434,358
262,1262,12704,2328,1402,478,924
263,1263,12708,2332,109,54,55
264,1266,12708,2327,559,214,345
265,1267,12716,2334,1129,441,688
266,1268,12701,2325,3948,1278,2670
267,1269,12710,2327,107,19,88
268,1270,12700,2328,650,347,303
269,1271,12695,2328,6875,3463,3412
270,1272,12688,2331,901,479,422
271,1273,12690,2329,1205,477,728
272,1274,12707,2332,469,157,312
273,1275,12710,2334,6,1,5
274,1276,12708,2333,133,73,60
275,1277,12701,2329,256,58,198
276,1278,12707,2328,176,76,100
277,1279,12704,2334,1861,962,899
278,1280,12703,2332,757,262,495
279,1281,12707,2330,45,11,34
280,1282,12693,2328,6564,3396,3168
281,1283,12699,2328,1833,960,873
282,1284,12703,2333,253,111,142
283,1285,12699,2327,1247,440,807
284,1286,12713,2329,1423,703,720
285,1287,12711,2328,1240,642,598
286,1288,12703,2330,204,59,145
287,1289,12707,2321,115,22,93
288,1290,12680,2343,80,40,40
289,1291,12681,2343,54,25,29
290,1292,12719,2325,2,1,1
291,1293,12705,2333,827,412,415
292,1294,12700,2336,73,25,48
293,1295,12701,2334,300,165,135
294,1296,12702,2335,24,12,12
295,1297,12703,2334,857,431,426
296,1298,12706,2329,272,125,147
297,1299,12706,2331,290,114,176
298,1300,12694,2328,6345,3409,2936
299,1301,12698,2326,404,59,345
300,1302,12711,2329,1337,517,820
301,1303,12675,2329,321,24,297
302,1304,12694,2327,6441,3425,3016
303,1305,12676,2320,5671,2293,3378
304,1306,12675,2320,2652,1197,1455
305,1307,12674,2320,1972,780,1192
306,1308,12674,2321,6052,2859,3193
307,1309,12676,2323,11191,6564,4627
308,1310,12677,2324,1605,516,1089
309,1311,12676,2324,3427,1722,1705
310,1312,12676,2322,18848,9738,9110
311,1313,12679,2322,5586,2706,2880
312,1314,12675,2322,9661,5467,4194
313,1315,12674,2322,6985,3265,3720
314,1316,12673,2322,1271,575,696
315,1317,12669,2324,115,38,77
316,1318,12670,2325,49,16,33
317,1319,12673,2325,476,161,315
318,1320,12675,2323,2668,1341,1327
319,1321,12675,2325,468,257,211
320,1322,12675,2324,2714,1317,1397
321,1323,12674,2326,4734,2300,2434
322,1324,12678,2319,5482,2365,3117
323,1325,12673,2324,3278,1454,1824
324,1326,12672,2338,758,336,422
325,1327,12671,2328,1458,582,876
326,1328,12680,2321,5474,2286,3188
327,1329,12677,2325,456,67,389
328,1330,12673,2321,1845,625,1220
329,1331,12672,2322,78,24,54
330,1332,12671,2325,143,39,104
331,1333,12670,2324,4,2,2
332,1334,12674,2330,876,340,536
333,1335,12674,2329,756,322,434
334,1336,12674,2325,3173,1658,1515
335,1337,12674,2328,796,357,439
336,1338,12677,2330,177,19,158
337,1339,12693,2331,14669,7073,7596
338,1340,12692,2331,7223,3747,3476
339,1341,12686,2333,333,203,130
340,1342,12669,2325,18,8,10
341,1343,12672,2324,2017,815,1202
342,1344,12682,2322,1347,431,916
343,1345,12703,2327,383,42,341
344,1346,12691,2331,2851,1117,1734
345,1347,12671,2330,23,4,19
346,1348,12667,2343,27,9,18
347,1349,12669,2341,14,4,10
348,1350,12681,2321,2440,771,1669
349,1351,12674,2327,2135,899,1236
350,1352,12672,2343,36,12,24
351,1353,12672,2328,1315,574,741
352,1354,12676,2319,608,162,446
353,1355,12673,2326,1419,831,588
354,1356,12672,2327,1793,725,1068
355,1357,12669,2331,721,321,400
356,1358,12670,2326,23,13,10
357,1359,12671,2327,673,229,444
358,1360,12671,2324,426,77,349
359,1361,12671,2342,68,19,49
360,1362,12671,2329,2623,1460,1163
361,1363,12673,2323,891,525,366
362,1364,12681,2323,971,237,734
363,1365,12681,2322,1139,257,882
364,1366,12673,2320,129,16,113
365,1367,12670,2334,160,59,101
366,1368,12673,2338,310,132,178
367,1369,12671,2335,424,226,198
368,1371,12670,2345,86,41,45
369,1372,12681,2331,458,246,212
370,1373,12670,2330,754,384,370
371,1374,12668,2331,644,315,329
372,1375,12670,2339,118,63,55
373,1376,12671,2333,437,185,252
374,1377,12672,2334,66,11,55
375,1378,12667,2332,409,158,251
376,1379,12667,2345,72,17,55
377,1380,12666,2345,82,34,48
378,1381,12680,2323,483,178,305
379,1382,12679,2336,282,125,157
380,1383,12671,2332,158,46,112
381,1384,12674,2323,983,319,664
382,1385,12667,2333,160,62,98
