id,unicode,X,Y,population,travellers,visitors
212,1212,86,65,12,6,6
213,1213,88,65,42,21,21
214,1214,45,139,84,42,42
215,1215,47,101,206,103,103
216,1216,45,101,136,67,69
217,1217,47,43,26,11,15
218,1218,77,80,59,29,30
219,1219,67,73,50,25,25
220,1220,75,97,78,39,39
221,1221,74,96,165,82,83
222,1222,77,94,154,77,77
223,1223,78,95,181,90,91
224,1224,83,57,83,42,41
225,1225,83,58,48,24,24
226,1226,83,80,802,397,405
227,1227,51,138,63,31,32
228,1228,56,101,106,53,53
229,1229,53,101,162,81,81
230,1230,62,98,98,49,49
231,1231,74,62,48,24,24
232,1232,73,57,78,38,40
233,1233,63,77,90,46,44
234,1234,72,76,72,36,36
235,1235,67,132,26,13,13
236,1236,83,43,122,61,61
237,1237,82,46,208,104,104
238,1238,26,80,344,172,172
239,1239,38,72,217,108,109
240,1240,55,112,148,74,74
241,1241,57,123,93,48,45
242,1242,76,64,266,133,133
243,1243,65,47,323,161,162
244,1244,26,58,263,131,132
245,1245,65,143,80,41,39
246,1246,82,86,254,130,124
247,1247,78,87,131,67,64
248,1248,59,109,142,70,72
249,1249,61,99,93,46,47
250,1250,65,98,116,58,58
251,1251,81,98,198,99,99
252,1252,83,83,189,95,94
253,1253,54,103,235,117,118
254,1254,51,106,264,132,132
255,1255,83,79,261,130,131
256,1256,83,76,43,22,21
257,1257,69,48,180,89,91
258,1258,48,88,85,42,43
259,1259,65,73,163,80,83
260,1260,64,73,259,128,131
261,1261,87,73,67,34,33
262,1262,84,66,88,45,43
263,1263,82,88,158,80,78
264,1264,83,88,332,168,164
265,1265,83,94,182,91,91
266,1266,81,94,30,15,15
267,1267,62,80,52,26,26
268,1268,83,62,28,14,14
269,1269,82,66,33,17,16
270,1270,74,99,113,56,57
271,1271,78,102,204,102,102
272,1272,57,103,135,67,68
273,1273,15,26,190,94,96
274,1274,26,28,115,58,57
275,1275,59,69,100,50,50
276,1276,85,77,80,40,40
277,1277,48,113,78,39,39
278,1278,65,111,212,107,105
279,1279,79,83,51,26,25
280,1280,54,77,299,142,157
281,1281,49,85,58,30,28
282,1282,73,88,168,84,84
283,1283,73,82,173,87,86
284,1284,80,102,377,188,189
285,1285,62,134,143,72,71
286,1286,85,82,880,436,444
287,1287,25,96,233,118,115
288,1288,49,134,222,110,112
289,1289,66,137,41,20,21
290,1290,66,139,91,45,46
291,1291,77,101,146,75,71
292,1292,20,136,67,34,33
293,1293,31,101,145,72,73
294,1294,25,75,124,62,62
295,1295,26,73,106,52,54
296,1296,80,86,74,37,37
297,1297,82,84,59,29,30
298,1298,89,48,47,23,24
299,1299,89,43,69,34,35
300,1300,74,63,99,49,50
301,1301,78,63,46,22,24
302,1302,70,117,93,47,46
303,1303,73,113,154,77,77
304,1304,54,109,164,82,82
305,1305,56,72,98,51,47
306,1306,54,70,149,74,75
307,1307,81,80,422,213,209
308,1308,56,121,42,21,21
309,1309,62,115,84,42,42
310,1310,50,132,147,73,74
311,1311,81,79,115,58,57
312,1312,68,123,64,32,32
313,1313,82,95,243,123,120
314,1314,84,87,240,118,122
315,1315,83,64,94,48,46
316,1316,83,66,94,46,48
317,1317,69,97,154,77,77
318,1318,45,148,87,44,43
319,1319,49,146,83,42,41
320,1320,56,68,80,40,40
321,1321,81,85,95,46,49
322,1322,81,84,138,70,68
323,1323,53,75,201,101,100
324,1324,89,68,176,88,88
325,1325,66,78,104,53,51
326,1326,64,78,57,28,29
327,1327,60,65,174,88,86
328,1328,58,68,169,86,83
329,1329,80,60,103,52,51
330,1330,69,113,219,110,109
331,1331,59,111,133,66,67
332,1332,55,111,238,119,119
333,1333,88,63,48,23,25
334,1334,91,65,29,15,14
335,1335,43,107,181,90,91
336,1336,45,106,62,31,31
337,1337,79,90,90,45,45
338,1338,20,102,156,80,76
339,1339,25,114,156,77,79
340,1340,50,96,64,32,32
341,1341,47,95,87,43,44
342,1342,66,75,106,53,53
343,1343,78,97,142,71,71
344,1344,78,68,68,34,34
345,1345,27,104,178,89,89
346,1346,30,95,82,41,41
347,1347,83,69,11,5,6
348,1348,87,76,49,24,25
349,1349,81,88,90,45,45
350,1350,80,88,112,56,56
351,1351,81,62,98,49,49
352,1352,73,109,222,111,111
353,1353,78,66,109,54,55
354,1354,79,67,55,27,28
355,1355,26,67,86,43,43
356,1356,24,69,113,57,56
357,1357,69,77,196,97,99
358,1358,75,64,139,71,68
359,1359,24,67,65,33,32
360,1360,18,68,258,129,129
361,1361,73,60,72,36,36
362,1362,20,126,190,94,96
363,1363,22,118,130,65,65
364,1364,78,99,239,120,119
365,1365,27,84,88,45,43
366,1366,40,72,133,65,68
367,1367,40,68,312,153,159
368,1368,43,47,150,75,75
369,1369,36,47,312,158,154
370,1370,53,111,68,34,34
371,1371,73,69,40,23,17
372,1372,71,77,79,40,39
373,1373,69,43,182,92,90
374,1374,17,128,181,90,91
375,1375,59,52,58,29,29
376,1376,56,92,173,88,85
377,1377,84,63,50,25,25
378,1378,85,74,36,18,18
379,1379,71,83,273,138,135
380,1380,54,101,60,30,30
381,1381,68,57,140,70,70
382,1382,74,90,198,99,99
383,1383,65,109,98,49,49
384,1384,61,111,91,45,46
385,1385,88,52,121,59,62
386,1386,88,53,63,32,31
387,1387,26,113,224,113,111
388,1388,76,66,110,54,56
389,1389,76,95,89,44,45
390,1390,78,90,138,70,68
391,1391,65,75,131,66,65
392,1392,28,70,116,57,59
393,1393,30,76,234,118,116
394,1394,80,83,94,48,46
395,1395,57,77,211,104,107
396,1396,56,83,73,36,37
397,1397,59,116,80,40,40
398,1398,40,127,44,22,22
