951,640,1
981,11,2
255,286,2
1207,786,1
187,1118,12
303,164,2
128,1054,1
157,378,1
88,210,1
1024,689,1
879,709,1
807,240,1
76,878,1
724,738,2
436,922,2
426,428,2
562,251,1
723,11,1
364,3,9
255,994,1
886,516,1
208,683,1
1326,346,3
199,667,2
434,117,1
180,609,7
226,307,6
148,676,1
775,489,1
480,198,1
120,173,1
208,367,3
84,1010,1
500,117,1
159,446,1
754,628,1
1050,186,2
638,18,2
1218,916,1
6,917,1
1044,317,3
1058,135,2
557,120,1
396,83,2
303,1036,5
434,553,1
1136,184,2
623,1070,1
888,244,8
602,11,2
30,255,1
902,177,1
835,56,2
265,496,1
858,859,2
240,558,1
182,433,5
820,1124,1
624,909,1
726,242,1
1063,1391,1
288,932,2
817,322,1
1082,561,2
283,779,1
852,15,1
1349,1027,1
172,1201,2
5,907,1
694,226,1
74,11,1
959,1255,1
383,760,3
758,815,1
971,295,2
39,12,1
993,1140,4
668,328,1
876,895,1
288,480,1
1135,293,2
61,100,1
331,278,1
373,211,6
359,528,1
112,211,2
623,463,7
1190,997,15
587,193,1
672,341,1
759,47,1
616,327,4
414,654,2
56,602,1
12,296,1
243,728,1
393,1259,1
99,864,1
620,310,5
678,638,1
145,18,1
5,694,1
638,678,1
449,722,1
1297,405,1
158,1130,5
903,938,1
78,837,2
1359,661,1
778,777,2
547,1190,1
66,1077,1
907,608,1
782,816,1
644,645,3
731,1122,2
905,835,2
962,6,1
766,240,1
88,951,1
164,1001,1
148,287,3
1010,10,4
1028,551,1
159,307,1
103,397,1
92,998,1
1149,976,1
11,157,4
115,127,1
152,515,1
908,448,2
571,848,1
70,745,3
45,729,1
603,131,2
414,22,1
589,924,1
36,278,1
358,603,2
157,732,2
130,1078,2
120,900,1
996,733,1
304,335,2
555,726,1
226,135,1
887,661,1
770,1129,1
910,718,1
322,959,1
271,480,1
516,221,2
204,415,3
1139,323,1
280,503,1
820,37,4
162,951,2
810,827,1
284,422,1
593,6,2
113,740,2
1394,286,1
529,215,1
238,1196,1
433,1065,1
94,788,1
1017,339,1
115,1154,1
1014,853,1
850,858,3
251,791,1
21,335,1
880,281,1
591,1297,1
172,997,1
264,62,1
912,938,6
785,412,1
1352,1084,1
663,203,1
766,1113,1
211,482,2
838,45,2
257,432,1
130,174,2
667,7,1
1088,933,5
87,1240,1
487,374,4
23,317,1
1062,409,1
1355,465,1
745,548,2
46,387,4
106,86,1
502,453,1
1324,744,1
926,1099,1
73,395,1
793,206,3
158,1239,5
463,910,6
596,33,4
787,694,2
1123,939,1
335,92,1
566,836,1
234,325,1
674,630,1
969,34,1
354,1214,2
924,941,1
617,1078,1
7,785,1
1076,1077,1
11,806,1
1098,53,1
18,22,2
751,730,3
802,504,2
926,498,1
6,47,2
735,602,1
721,40,1
792,1010,1
40,631,2
11,1244,1
1072,583,3
1222,505,2
618,287,1
471,21,1
1173,86,1
579,1005,1
565,185,3
673,323,3
1031,1222,1
1064,709,7
519,1170,3
1338,168,1
908,15,1
9,577,1
1113,509,2
732,1001,2
972,120,3
741,821,1
89,418,5
250,880,1
578,677,1
215,418,1
617,1248,1
1355,1064,3
395,18,9
983,733,1
819,900,1
681,119,1
805,425,1
1062,663,5
713,614,1
551,590,1
733,983,1
595,646,1
652,793,1
11,218,1
746,12,1
844,1183,1
195,542,3
562,164,1
264,1001,2
462,146,1
89,14,1
119,1074,1
1041,300,1
951,411,1
630,734,1
691,648,4
653,903,3
877,1075,6
329,728,6
164,734,1
9,1068,2
733,523,2
1017,916,3
244,216,1
705,362,6
615,11,1
12,1212,1
1089,414,1
